timestamp,,power,error
52:06.4,332.00,0.000944,-0.008056
52:07.4,333.00,0.000944,-0.008056
52:08.4,334.00,0.000944,-0.008056
52:09.4,335.00,0.000944,-0.008056
52:10.5,336.00,0.000944,-0.008056
52:11.5,337.00,0.000944,-0.008056
52:12.5,338.00,0.000944,-0.008056
52:13.5,339.00,0.000945,-0.008055
52:14.5,340.00,0.000944,-0.008056
52:15.5,341.00,0.000944,-0.008056
52:16.5,342.00,0.000944,-0.008056
52:17.6,343.00,0.000944,-0.008056
52:18.6,344.00,0.000944,-0.008056
52:19.6,345.00,0.000945,-0.008055
52:20.6,346.00,0.000944,-0.008056
52:21.6,347.00,0.000944,-0.008056
52:22.6,348.00,0.000944,-0.008056
52:23.7,349.00,0.000944,-0.008056
52:24.7,350.00,0.000944,-0.008056
52:25.7,351.00,0.000944,-0.008056
52:26.7,352.00,0.000944,-0.008056
52:27.8,353.00,0.000945,-0.008055
52:28.8,354.00,0.000944,-0.008056
52:29.8,355.00,0.000944,-0.008056
52:30.8,356.00,0.000944,-0.008056
52:31.8,357.00,0.000944,-0.008056
52:32.8,358.00,0.000944,-0.008056
52:33.9,359.00,0.000944,-0.008056
52:34.9,360.00,0.000944,-0.008056
52:35.9,361.00,0.000944,-0.008056
52:36.9,362.00,0.000944,-0.008056
52:37.9,363.00,0.000944,-0.008056
52:38.9,364.00,0.000944,-0.008056
52:39.9,365.00,0.000944,-0.008056
52:40.9,366.00,0.000944,-0.008056
52:42.0,367.00,0.000944,-0.008056
52:43.0,368.00,0.000944,-0.008056
52:44.0,369.00,0.000944,-0.008056
52:45.0,370.00,0.000944,-0.008056
52:46.0,371.00,0.000944,-0.008056
52:47.0,372.00,0.000944,-0.008056
52:48.0,373.00,0.000944,-0.008056
52:49.1,374.00,0.000944,-0.008056
52:50.1,375.00,0.000944,-0.008056
52:51.1,376.00,0.000944,-0.008056
52:52.1,377.00,0.000944,-0.008056
52:53.1,378.00,0.000944,-0.008056
52:54.1,379.00,0.000944,-0.008056
52:55.1,380.00,0.000944,-0.008056
