timestamp,power,error
31:07.2,0.000931,-0.008069
31:08.2,0.000931,-0.008069
31:09.2,0.000931,-0.008069
31:10.2,0.000931,-0.008069
31:11.2,0.000931,-0.008069
31:12.3,0.000931,-0.008069
31:13.3,0.000931,-0.008069
31:14.3,0.000931,-0.008069
31:15.3,0.000931,-0.008069
31:16.3,0.000931,-0.008069
31:17.4,0.000931,-0.008069
31:18.4,0.000931,-0.008069
31:19.4,0.000931,-0.008069
31:20.4,0.000931,-0.008069
31:21.4,0.000931,-0.008069
31:22.5,0.000931,-0.008069
31:23.5,0.000931,-0.008069
31:24.5,0.000931,-0.008069
31:25.5,0.000932,-0.008068
31:26.5,0.000931,-0.008069
31:27.6,0.000932,-0.008068
31:28.6,0.000931,-0.008069
31:29.6,0.000931,-0.008069
31:30.6,0.000931,-0.008069
31:31.7,0.000932,-0.008068
31:32.7,0.000932,-0.008068
31:33.7,0.000932,-0.008068
31:34.7,0.000932,-0.008068
31:35.7,0.000932,-0.008068
31:36.7,0.000932,-0.008068
31:37.7,0.000932,-0.008068
31:38.8,0.000932,-0.008068
31:39.8,0.000932,-0.008068
31:40.8,0.000932,-0.008068
31:41.8,0.000932,-0.008068
31:42.8,0.000932,-0.008068
31:43.8,0.000932,-0.008068
31:44.8,0.000932,-0.008068
31:45.9,0.000932,-0.008068
31:46.9,0.000932,-0.008068
31:47.9,0.000932,-0.008068
31:48.9,0.000932,-0.008068
31:49.9,0.000932,-0.008068
31:50.9,0.000932,-0.008068
31:51.9,0.000932,-0.008068
31:52.9,0.000932,-0.008068
31:54.0,0.000932,-0.008068
31:55.0,0.000932,-0.008068
31:56.0,0.000932,-0.008068
31:57.0,0.000932,-0.008068
31:58.0,0.000932,-0.008068
31:59.1,0.000932,-0.008068
32:00.1,0.000932,-0.008068
32:01.1,0.000932,-0.008068
32:02.1,0.000932,-0.008068
32:03.1,0.000933,-0.008067
32:04.1,0.000932,-0.008068
32:05.1,0.000933,-0.008067
32:06.1,0.000932,-0.008068
32:07.2,0.000933,-0.008067
32:08.2,0.000933,-0.008067
32:09.2,0.000933,-0.008067
32:10.2,0.000932,-0.008068
32:11.2,0.000933,-0.008067
32:12.3,0.000933,-0.008067
32:13.3,0.000933,-0.008067
32:14.3,0.000932,-0.008068
32:15.3,0.000932,-0.008068
32:16.3,0.000932,-0.008068
32:17.3,0.000932,-0.008068
32:18.4,0.000932,-0.008068
32:19.4,0.000932,-0.008068
32:20.4,0.000932,-0.008068
32:21.4,0.000932,-0.008068
32:22.4,0.000932,-0.008068
32:23.4,0.000932,-0.008068
32:24.5,0.000932,-0.008068
32:25.5,0.000932,-0.008068
32:26.5,0.000932,-0.008068
32:27.5,0.000932,-0.008068
32:28.5,0.000932,-0.008068
32:29.5,0.000932,-0.008068
32:30.6,0.000932,-0.008068
32:31.6,0.000933,-0.008067
32:32.6,0.000933,-0.008067
32:33.6,0.000933,-0.008067
32:34.7,0.000933,-0.008067
32:35.7,0.000933,-0.008067
32:36.7,0.000933,-0.008067
32:37.7,0.000933,-0.008067
32:38.7,0.000933,-0.008067
32:39.7,0.000933,-0.008067
32:40.8,0.000933,-0.008067
32:41.8,0.000933,-0.008067
32:42.8,0.000933,-0.008067
32:43.8,0.000933,-0.008067
32:44.9,0.000933,-0.008067
32:45.9,0.000933,-0.008067
32:46.9,0.000933,-0.008067
32:47.9,0.000933,-0.008067
32:48.9,0.000934,-0.008066
32:49.9,0.000934,-0.008066
32:51.0,0.000934,-0.008066
32:52.0,0.000934,-0.008066
32:53.0,0.000934,-0.008066
32:54.0,0.000934,-0.008066
32:55.0,0.000934,-0.008066
32:56.1,0.000934,-0.008066
32:57.1,0.000934,-0.008066
32:58.1,0.000934,-0.008066
32:59.1,0.000934,-0.008066
33:00.2,0.000934,-0.008066
33:01.2,0.000934,-0.008066
33:02.2,0.000934,-0.008066
33:03.2,0.000934,-0.008066
33:04.2,0.000934,-0.008066
33:05.2,0.000934,-0.008066
33:06.3,0.000934,-0.008066
33:07.3,0.000934,-0.008066
33:08.3,0.000934,-0.008066
33:09.3,0.000934,-0.008066
33:10.3,0.000934,-0.008066
33:11.3,0.000934,-0.008066
33:12.4,0.000935,-0.008065
33:13.4,0.000934,-0.008066
33:14.4,0.000934,-0.008066
33:15.4,0.000935,-0.008065
33:16.4,0.000934,-0.008066
33:17.4,0.000935,-0.008065
33:18.4,0.000935,-0.008065
33:19.5,0.000934,-0.008066
33:20.5,0.000935,-0.008065
33:21.5,0.000935,-0.008065
33:22.5,0.000935,-0.008065
33:23.5,0.000935,-0.008065
33:24.5,0.000935,-0.008065
33:25.6,0.000935,-0.008065
33:26.6,0.000935,-0.008065
33:27.6,0.000935,-0.008065
33:28.6,0.000935,-0.008065
33:29.7,0.000935,-0.008065
33:30.7,0.000935,-0.008065
33:31.7,0.000935,-0.008065
33:32.7,0.000935,-0.008065
33:33.7,0.000935,-0.008065
33:34.7,0.000935,-0.008065
33:35.7,0.000935,-0.008065
33:36.8,0.000935,-0.008065
33:37.8,0.000936,-0.008064
33:38.8,0.000936,-0.008064
33:39.8,0.000935,-0.008065
33:40.8,0.000936,-0.008064
33:41.8,0.000935,-0.008065
33:42.9,0.000936,-0.008064
33:43.9,0.000936,-0.008064
33:44.9,0.000936,-0.008064
33:45.9,0.000936,-0.008064
